id,perfil,longitud,cantidad,anguloInicio,anguloFin,panel,muro,prioridadFabricacion
"PIEZA-0021","PGC 100x0.9",2.6,1,0,0,"panel_wall_north_0","wall_north",1
"PIEZA-0022","PGC 100x0.9",2.6,1,0,0,"panel_wall_north_0","wall_north",1
"PIEZA-0023","PGU 100x0.9",4,2,0,0,"panel_wall_north_0","wall_north",1
"PIEZA-0024","PGC 100x0.9",2.6,1,0,0,"panel_wall_south_0","wall_south",2
"PIEZA-0025","PGC 100x0.9",2.6,1,0,0,"panel_wall_south_0","wall_south",2
"PIEZA-0026","PGC 100x0.9",2.6,1,0,0,"panel_wall_south_0","wall_south",2
"PIEZA-0027","PGC 100x0.9",2.6,1,0,0,"panel_wall_south_0","wall_south",2
"PIEZA-0028","PGC 100x0.9",2.6,1,0,0,"panel_wall_south_0","wall_south",2
"PIEZA-0029","PGC 100x0.9",2.6,1,0,0,"panel_wall_south_0","wall_south",2
"PIEZA-0030","PGC 100x0.9",2.6,1,0,0,"panel_wall_south_0","wall_south",2
"PIEZA-0031","PGC 100x0.9",2.6,1,0,0,"panel_wall_south_0","wall_south",2
"PIEZA-0032","PGC 100x0.9",2.6,1,0,0,"panel_wall_south_0","wall_south",2
"PIEZA-0033","PGC 100x0.9",2.6,1,0,0,"panel_wall_south_0","wall_south",2
"PIEZA-0034","PGC 100x0.9",2.1,1,0,0,"panel_wall_south_0","wall_south",2
"PIEZA-0035","PGC 100x0.9",2.1,1,0,0,"panel_wall_south_0","wall_south",2
"PIEZA-0036","PGC 100x0.9",0.3,1,0,0,"panel_wall_south_0","wall_south",2
"PIEZA-0037","PGC 100x0.9",0.3,1,0,0,"panel_wall_south_0","wall_south",2
"PIEZA-0038","PGC 100x0.9",2.6,1,0,0,"panel_wall_south_0","wall_south",2
"PIEZA-0039","PGC 100x0.9",2.6,1,0,0,"panel_wall_south_0","wall_south",2
"PIEZA-0040","PGC 100x0.9",2.6,1,0,0,"panel_wall_south_0","wall_south",2
"PIEZA-0041","PGC 100x0.9",2.6,1,0,0,"panel_wall_south_0","wall_south",2
"PIEZA-0042","PGU 100x0.9",4,2,0,0,"panel_wall_south_0","wall_south",2
"PIEZA-0043","PGC 100x0.9",2.6,1,0,0,"panel_wall_east_0","wall_east",3
"PIEZA-0044","PGC 100x0.9",2.6,1,0,0,"panel_wall_east_0","wall_east",3
"PIEZA-0045","PGC 100x0.9",2.6,1,0,0,"panel_wall_east_0","wall_east",3
"PIEZA-0046","PGC 100x0.9",2.6,1,0,0,"panel_wall_east_0","wall_east",3
"PIEZA-0047","PGC 100x0.9",2.6,1,0,0,"panel_wall_east_0","wall_east",3
"PIEZA-0048","PGC 100x0.9",2.6,1,0,0,"panel_wall_east_0","wall_east",3
"PIEZA-0049","PGC 100x0.9",2.6,1,0,0,"panel_wall_east_0","wall_east",3
"PIEZA-0050","PGC 100x0.9",2.6,1,0,0,"panel_wall_east_0","wall_east",3
"PIEZA-0051","PGC 100x0.9",2.6,1,0,0,"panel_wall_east_0","wall_east",3
"PIEZA-0052","PGC 100x0.9",2.6,1,0,0,"panel_wall_east_0","wall_east",3
"PIEZA-0053","PGC 100x0.9",2.6,1,0,0,"panel_wall_east_0","wall_east",3
"PIEZA-0054","PGC 100x0.9",2.6,1,0,0,"panel_wall_east_0","wall_east",3
"PIEZA-0055","PGC 100x0.9",2.6,1,0,0,"panel_wall_east_0","wall_east",3
"PIEZA-0056","PGC 100x0.9",2.6,1,0,0,"panel_wall_east_0","wall_east",3
"PIEZA-0057","PGC 100x0.9",2.6,1,0,0,"panel_wall_east_0","wall_east",3
"PIEZA-0058","PGU 100x0.9",4,2,0,0,"panel_wall_east_0","wall_east",3
"PIEZA-0059","PGC 100x0.9",2.6,1,0,0,"panel_wall_west_0","wall_west",4
"PIEZA-0060","PGC 100x0.9",2.6,1,0,0,"panel_wall_west_0","wall_west",4
"PIEZA-0061","PGC 100x0.9",2.6,1,0,0,"panel_wall_west_0","wall_west",4
"PIEZA-0062","PGC 100x0.9",2.6,1,0,0,"panel_wall_west_0","wall_west",4
"PIEZA-0063","PGC 100x0.9",2.6,1,0,0,"panel_wall_west_0","wall_west",4
"PIEZA-0064","PGC 100x0.9",2.6,1,0,0,"panel_wall_west_0","wall_west",4
"PIEZA-0065","PGC 100x0.9",2.6,1,0,0,"panel_wall_west_0","wall_west",4
"PIEZA-0066","PGC 100x0.9",2.6,1,0,0,"panel_wall_west_0","wall_west",4
"PIEZA-0067","PGC 100x0.9",2.6,1,0,0,"panel_wall_west_0","wall_west",4
"PIEZA-0068","PGC 100x0.9",2.6,1,0,0,"panel_wall_west_0","wall_west",4
"PIEZA-0069","PGC 100x0.9",2.6,1,0,0,"panel_wall_west_0","wall_west",4
"PIEZA-0070","PGC 100x0.9",2.6,1,0,0,"panel_wall_west_0","wall_west",4
"PIEZA-0071","PGC 100x0.9",2.6,1,0,0,"panel_wall_west_0","wall_west",4
"PIEZA-0072","PGC 100x0.9",2.6,1,0,0,"panel_wall_west_0","wall_west",4
"PIEZA-0073","PGC 100x0.9",2.6,1,0,0,"panel_wall_west_0","wall_west",4
"PIEZA-0074","PGU 100x0.9",4,2,0,0,"panel_wall_west_0","wall_west",4
